timestamp	max	min	total
3461599	3.7279	3.6818	400.421
3461639	3.7279	3.6818	400.4207
3461708	3.7279	3.6817	400.4202
3461720	3.7279	3.6816	400.4191
3461759	3.728	3.6817	400.4209
3461799	3.728	3.6818	400.42
3461839	3.7279	3.6817	400.421
3461911	3.7279	3.6816	400.4204
3461920	3.7279	3.6816	400.4197
3461959	3.7279	3.6817	400.4202
3462000	3.7278	3.6817	400.4206
3462040	3.7279	3.6817	400.4213
3462109	3.7279	3.6817	400.4198
3462121	3.7279	3.6817	400.4205
3462160	3.7278	3.6818	400.4199
3462200	3.7279	3.6818	400.4198
3462240	3.7279	3.6817	400.4206
3462309	3.7279	3.6817	400.4205
3462321	3.7279	3.6817	400.4202
3462360	3.7279	3.6817	400.4213
3462400	3.7279	3.6818	400.4196
3462440	3.7279	3.6817	400.4194
3462510	3.7279	3.6817	400.4216
3462522	3.7279	3.6818	400.4203
3462561	3.7279	3.6818	400.4208
3462601	3.7279	3.6816	400.4204
3462641	3.7279	3.6818	400.4215
3462710	3.7279	3.6818	400.4203
3462722	3.7279	3.6817	400.4196
3462761	3.7279	3.6817	400.4208
3462801	3.7279	3.6818	400.4214
3462841	3.728	3.6818	400.4193
3462910	3.7279	3.6817	400.4203
3462922	3.7279	3.6818	400.4203
3462961	3.7279	3.6816	400.4203
3463002	3.7279	3.6817	400.4213
3463042	3.7279	3.6818	400.4212
3463111	3.7279	3.6817	400.4204
3463123	3.7279	3.6818	400.4211
3463162	3.7279	3.6818	400.4208
3463202	3.7279	3.6817	400.4203
3463242	3.7279	3.6817	400.4201
3463311	3.728	3.6816	400.4189
3463323	3.728	3.6816	400.4184
3463362	3.7279	3.6817	400.4195
3463402	3.7279	3.6818	400.4211
3463442	3.7279	3.6817	400.4202
3463512	3.728	3.6817	400.4201
3463524	3.728	3.6817	400.4206
3463563	3.7279	3.6818	400.42
3463603	3.7279	3.6817	400.4215
3463643	3.728	3.6817	400.422
3463712	3.7279	3.6816	400.4203
3463724	3.7279	3.6817	400.4193
3463763	3.7279	3.6818	400.42
3463803	3.7278	3.6818	400.4216
3463843	3.728	3.6818	400.4211
3463912	3.728	3.6816	400.4195
3463925	3.728	3.6817	400.4204
3463967	3.7279	3.6817	400.4219
3464004	3.7279	3.6817	400.4193
3464044	3.728	3.6818	400.421
3464113	3.7279	3.6817	400.42
3464125	3.7279	3.6816	400.42
3464164	3.728	3.6817	400.4201
3464204	3.7279	3.6818	400.42
3464244	3.7279	3.6817	400.4212
3464313	3.7279	3.6816	400.4204
3464325	3.7279	3.6816	400.42
3464364	3.728	3.6818	400.4202
